CD_MUN,NM_MUN,CD_RGI,NM_RGI,CD_RGINT,NM_RGINT,CD_UF,NM_UF,SIGLA_UF,CD_REGIAO,NM_REGIAO,SIGLA_RG,CD_CONCURB,NM_CONCURB,AREA_KM2,LATITUDE,LONGITUDE
2410900,Riachuelo,240006,São Paulo do Potengi,2401,Natal,24,Rio Grande do Norte,RN,2,Nordeste,NE,,,262.88,-5.798436295499409,-35.84958976515072
4202438,Bocaina do Sul,420005,Lages,4203,Lages,42,Santa Catarina,SC,4,Sul,S,,,510.673,-27.763117529207275,-49.90916303067564
4316204,Rondinha,430028,Carazinho,4306,Passo Fundo,43,Rio Grande do Sul,RS,4,Sul,S,,,252.454,-27.832475196918445,-52.89307729874395
3118205,Conquista,310055,Uberaba,3110,Uberaba,31,Minas Gerais,MG,3,Sudeste,SE,,,618.363,-19.88357758417989,-47.623889699743394
3110806,Campanário,310013,Teófilo Otoni,3103,Teófilo Otoni,31,Minas Gerais,MG,3,Sudeste,SE,,,442.398,-18.28396853384206,-41.7344183137693
5219357,Santa Isabel,520018,Ceres - Rialma - Goianésia,5205,Porangatu - Uruaçu,52,Goiás,GO,5,Centro-oeste,CO,,,812.756,-15.251384051518617,-49.388928215078444
4210605,Massaranduba,420016,Joinville,4206,Joinville,42,Santa Catarina,SC,4,Sul,S,,,374.452,-26.626913423525217,-48.98819050685673
5210802,Itajá,520010,Rio Verde,5203,Rio Verde,52,Goiás,GO,5,Centro-oeste,CO,,,2082.737,-19.10123302342577,-51.31952813636
3543402,Ribeirão Preto,350031,Ribeirão Preto,3508,Ribeirão Preto,35,São Paulo,SP,3,Sudeste,SE,3543402,Ribeirão Preto/SP,650.916,-21.210842624209864,-47.82130301915187
4120408,Presidente Castelo Branco,410014,Maringá,4104,Maringá,41,Paraná,PR,4,Sul,S,4115200,Maringá/PR,155.631,-23.26342844320272,-52.149178829456424
